Run ID    : resnet5ch_euvp_bs16_20260624_081624
Ckpt dir  : ./checkpoints/resnet5ch_euvp_bs16_20260624_081624
Log file  : D:\underwater-image-enhancement\logs\resnet5ch_euvp_bs16_20260624_081624.log
Command   : train.py --dataset euvp --data_train_euvp ./datasets/EUVP --model resnet_5ch --batchSize 16 --threads 0 --nEpochs 50 --run_name resnet5ch_euvp_bs16
Timestamp : 2026-06-24 08:16:24
-----------------------------------------------------------------

=================================================================
  Training: resnet_5ch   epochs=50   batch=16
=================================================================
 Epoch    TrainL      ValL     PSNR     SSIM         LR    Time
-----------------------------------------------------------------
   [Batch 50/643] Loss: 0.8783
   [Batch 100/643] Loss: 0.9332
   [Batch 150/643] Loss: 0.9333
   [Batch 200/643] Loss: 0.8535
   [Batch 250/643] Loss: 0.9348
   [Batch 300/643] Loss: 1.0170
   [Batch 350/643] Loss: 0.8989
   [Batch 400/643] Loss: 0.9414
   [Batch 450/643] Loss: 0.9471
   [Batch 500/643] Loss: 0.8950
   [Batch 550/643] Loss: 0.8815
   [Batch 600/643] Loss: 0.9223
   [Batch 50/643] Loss: 0.8915
   [Batch 100/643] Loss: 0.7980
   [Batch 150/643] Loss: 0.8115
   [Batch 200/643] Loss: 0.8586
   [Batch 250/643] Loss: 0.9019
   [Batch 300/643] Loss: 0.8242
   [Batch 350/643] Loss: 0.9246
   [Batch 400/643] Loss: 0.9810
   [Batch 450/643] Loss: 0.8608
   [Batch 500/643] Loss: 0.9137
   [Batch 550/643] Loss: 0.8129
   [Batch 600/643] Loss: 0.8701
    48    0.9002    0.9207   23.606   0.8756   5.00e-05  206.8s
   [Batch 50/643] Loss: 0.8801
   [Batch 100/643] Loss: 0.8937
   [Batch 150/643] Loss: 0.8919
   [Batch 200/643] Loss: 1.0135
   [Batch 250/643] Loss: 0.8578
   [Batch 300/643] Loss: 0.8727
   [Batch 350/643] Loss: 0.9438
   [Batch 400/643] Loss: 0.8838
   [Batch 450/643] Loss: 0.8748
   [Batch 500/643] Loss: 0.8484
   [Batch 550/643] Loss: 0.8352
   [Batch 600/643] Loss: 0.8697
   [Batch 50/643] Loss: 0.8659
   [Batch 100/643] Loss: 0.8424
   [Batch 150/643] Loss: 0.9583
   [Batch 200/643] Loss: 0.8529
   [Batch 250/643] Loss: 0.9477
   [Batch 300/643] Loss: 0.8711
   [Batch 350/643] Loss: 0.8443
   [Batch 400/643] Loss: 0.9222
   [Batch 450/643] Loss: 0.8856
   [Batch 500/643] Loss: 0.9620
   [Batch 550/643] Loss: 0.9467
   [Batch 600/643] Loss: 0.8662
    50    0.8986    0.9162   23.603   0.8759   5.00e-05  207.6s

=================================================================
  Done.  Best PSNR: 23.9034 dB at epoch 36
  Total training time: 177.5 min
=================================================================
