Run ID    : efficientnetb1_5ch_euvp_bs16_20260624_132042
Ckpt dir  : ./checkpoints/efficientnetb1_5ch_euvp_bs16_20260624_132042
Log file  : D:\underwater-image-enhancement\logs\efficientnetb1_5ch_euvp_bs16_20260624_132042.log
Command   : train.py --dataset euvp --data_train_euvp ./datasets/EUVP --model efficientnetb1_5ch --batchSize 16 --threads 0 --nEpochs 50 --run_name efficientnetb1_5ch_euvp_bs16
Timestamp : 2026-06-24 13:20:42
-----------------------------------------------------------------

=================================================================
  Training: efficientnetb1_5ch   epochs=50   batch=16
=================================================================
 Epoch    TrainL      ValL     PSNR     SSIM         LR    Time
-----------------------------------------------------------------
   [Batch 600/643] Loss: 0.9235
   [Batch 50/643] Loss: 0.9595
   [Batch 100/643] Loss: 0.9417
   [Batch 150/643] Loss: 0.9673
   [Batch 200/643] Loss: 0.9108
   [Batch 250/643] Loss: 0.9753
   [Batch 300/643] Loss: 0.9605
   [Batch 350/643] Loss: 0.8374
   [Batch 400/643] Loss: 1.0021
   [Batch 450/643] Loss: 0.9293
   [Batch 500/643] Loss: 0.9602
   [Batch 550/643] Loss: 0.9980
   [Batch 600/643] Loss: 0.9728
    18    0.9757    1.0121   23.054   0.8548   1.00e-04  180.0s
   [Batch 50/643] Loss: 1.0179
   [Batch 100/643] Loss: 0.9377
   [Batch 150/643] Loss: 0.9933
   [Batch 200/643] Loss: 0.9221
   [Batch 250/643] Loss: 0.9905
   [Batch 300/643] Loss: 0.9322
   [Batch 350/643] Loss: 1.0157
   [Batch 400/643] Loss: 0.9645
   [Batch 450/643] Loss: 1.0765
   [Batch 500/643] Loss: 0.8631
   [Batch 550/643] Loss: 0.9457
   [Batch 600/643] Loss: 1.0245
   [Batch 50/643] Loss: 1.0352
   [Batch 100/643] Loss: 1.0491
   [Batch 150/643] Loss: 0.9082
   [Batch 200/643] Loss: 1.0177
   [Batch 250/643] Loss: 0.9142
   [Batch 300/643] Loss: 0.9492
   [Batch 350/643] Loss: 0.9241
   [Batch 400/643] Loss: 0.9305
   [Batch 450/643] Loss: 0.9478
   [Batch 500/643] Loss: 0.9451
   [Batch 550/643] Loss: 0.9956
   [Batch 600/643] Loss: 1.0868
    20    0.9683    0.9784   23.422   0.8617   1.00e-04  179.8s  ← BEST ✓
   [Batch 50/643] Loss: 0.9743
   [Batch 100/643] Loss: 1.0255
   [Batch 150/643] Loss: 1.1185
   [Batch 200/643] Loss: 0.9817
   [Batch 250/643] Loss: 0.8619
   [Batch 300/643] Loss: 0.9646
   [Batch 350/643] Loss: 0.8363
   [Batch 400/643] Loss: 0.9249
   [Batch 450/643] Loss: 1.0179
   [Batch 500/643] Loss: 0.9375
   [Batch 550/643] Loss: 0.9084
   [Batch 600/643] Loss: 0.9632
   [Batch 50/643] Loss: 1.0218
   [Batch 100/643] Loss: 0.9943
   [Batch 150/643] Loss: 0.9494
   [Batch 200/643] Loss: 0.9945
   [Batch 250/643] Loss: 0.9080
   [Batch 300/643] Loss: 0.9808
   [Batch 350/643] Loss: 0.8799
   [Batch 400/643] Loss: 1.0030
   [Batch 450/643] Loss: 0.9139
   [Batch 500/643] Loss: 1.0059
   [Batch 550/643] Loss: 1.1008
   [Batch 600/643] Loss: 0.9850
    22    0.9627    0.9823   23.223   0.8601   1.00e-04  180.0s
   [Batch 50/643] Loss: 1.0039
   [Batch 100/643] Loss: 0.9422
   [Batch 150/643] Loss: 0.9889
   [Batch 200/643] Loss: 1.0046
   [Batch 250/643] Loss: 0.9773
   [Batch 300/643] Loss: 0.9546
   [Batch 350/643] Loss: 0.9695
   [Batch 400/643] Loss: 0.9333
   [Batch 450/643] Loss: 0.8975
   [Batch 500/643] Loss: 0.8843
   [Batch 550/643] Loss: 0.9716
   [Batch 600/643] Loss: 0.9587
   [Batch 50/643] Loss: 0.9493
   [Batch 100/643] Loss: 0.9658
   [Batch 150/643] Loss: 1.0650
   [Batch 200/643] Loss: 0.9430
   [Batch 250/643] Loss: 0.9170
   [Batch 300/643] Loss: 1.1028
   [Batch 350/643] Loss: 0.9045
   [Batch 400/643] Loss: 0.9635
   [Batch 450/643] Loss: 0.9217
   [Batch 500/643] Loss: 0.9660
   [Batch 550/643] Loss: 0.9533
   [Batch 600/643] Loss: 0.9177
    24    0.9559    0.9825   23.355   0.8610   1.00e-04  180.5s
   [Batch 50/643] Loss: 0.9500
