Run ID    : efficientnet5ch_euvp_bs16_20260624_053039
Ckpt dir  : ./checkpoints/efficientnet5ch_euvp_bs16_20260624_053039
Log file  : D:\underwater-image-enhancement\logs\efficientnet5ch_euvp_bs16_20260624_053039.log
Command   : train.py --dataset euvp --data_train_euvp ./datasets/EUVP --model efficientnet_5ch --batchSize 16 --threads 0 --nEpochs 50 --run_name efficientnet5ch_euvp_bs16
Timestamp : 2026-06-24 05:30:39
-----------------------------------------------------------------

=================================================================
  Training: efficientnet_5ch   epochs=50   batch=16
=================================================================
 Epoch    TrainL      ValL     PSNR     SSIM         LR    Time
-----------------------------------------------------------------
   [Batch 150/643] Loss: 0.8503
   [Batch 200/643] Loss: 0.9147
   [Batch 250/643] Loss: 0.9176
   [Batch 300/643] Loss: 0.8895
   [Batch 350/643] Loss: 0.9753
   [Batch 400/643] Loss: 0.8104
   [Batch 450/643] Loss: 0.8461
   [Batch 500/643] Loss: 0.8421
   [Batch 550/643] Loss: 0.9195
   [Batch 600/643] Loss: 0.9657
    38    0.9224    0.9459   23.882   0.8749   5.00e-05  172.3s
   [Batch 50/643] Loss: 0.9276
   [Batch 100/643] Loss: 0.9443
   [Batch 150/643] Loss: 0.9721
   [Batch 200/643] Loss: 0.8987
   [Batch 250/643] Loss: 0.8509
   [Batch 300/643] Loss: 0.9772
   [Batch 350/643] Loss: 1.0058
   [Batch 400/643] Loss: 0.9222
   [Batch 450/643] Loss: 0.9404
   [Batch 500/643] Loss: 0.9226
   [Batch 550/643] Loss: 0.9201
   [Batch 600/643] Loss: 0.9427
   [Batch 50/643] Loss: 0.9580
   [Batch 100/643] Loss: 1.0822
   [Batch 150/643] Loss: 0.9562
   [Batch 200/643] Loss: 0.9548
   [Batch 250/643] Loss: 1.0374
   [Batch 300/643] Loss: 0.9652
   [Batch 350/643] Loss: 0.9015
   [Batch 400/643] Loss: 0.9198
   [Batch 450/643] Loss: 1.1184
   [Batch 500/643] Loss: 0.8629
   [Batch 550/643] Loss: 0.9714
   [Batch 600/643] Loss: 0.8713
    40    0.9211    0.9465   23.717   0.8729   5.00e-05  172.9s
   [Batch 50/643] Loss: 1.0063
   [Batch 100/643] Loss: 0.9270
   [Batch 150/643] Loss: 0.8913
   [Batch 200/643] Loss: 0.9251
   [Batch 250/643] Loss: 0.9736
   [Batch 300/643] Loss: 1.0277
   [Batch 350/643] Loss: 0.9486
   [Batch 400/643] Loss: 0.9054
   [Batch 450/643] Loss: 0.9252
   [Batch 500/643] Loss: 1.0028
   [Batch 550/643] Loss: 0.8220
   [Batch 600/643] Loss: 0.8193
   [Batch 50/643] Loss: 0.9490
   [Batch 100/643] Loss: 0.8483
   [Batch 150/643] Loss: 1.0347
   [Batch 200/643] Loss: 0.9060
   [Batch 250/643] Loss: 0.8636
   [Batch 300/643] Loss: 0.8858
   [Batch 350/643] Loss: 0.9537
